Indonesia,Madura
puji,moji
akan memujikan,mamojiyagi
kata dasar,KD
akhiran,akh
tahu,tao
akan tahu,taowa
lihat,tenggu
akan dilihat,etengguwa
kerja,lako
pekerjaan,kalakowan
maju,maju
kemajuan,kamajuwan
tunggu,togu
akan menunggui,noguwana
panggil,kato
akan memanggil,ngatowana
timbun,topo
menimbunkan,nopowagi
lihat,tenggu
melihatkan,nengguwagi
contoh,conto
"menyontohi, memberi contoh",nyontowe
"obor, suluh",solo
"diobori, disuluhi",esolowe
kerja,lako
pekerjaan,kalakowan
timbun,topo
menimbulkan,nopowagi
jadi,daddi
kejadian,kadaddiyan
uang,pesse
akan diuangi.,epesseyana
ada,badha
akan ada,badha'a
keadaan,kabadha'an
jalan,lampa
dijalankan,elampa'agi
kembali,bali
didatangi kembali,ebali'i
janji,janji
"dijanjikan, diberi janji",ejanji'i
suci,sacce
disucikan,esocce'e
jalan,jalan
dijalankan,ejalannagi
banding,bandhing
bandingkan,bandingngagi
beda,bida
perbedaannya,parbida'anna
kerja,lako
pekerjaannya,lalakonna
lain,laen
lainnya,laenepon
gelar,juluk
gelarnya,julukkepon
alat tangkap ikan,pajang
"menangkap ikan dengan ""pajang",majang
dirikan,paddek
mendirikan,maddek
baca,baca
membaca,maca
buka,bukka
membuka,mukka'
tulis,toles
menulis,noles
pegang,teggu
memegang,neggu
"sampai, datang",dhapa'
mendatangi,napa'e
tumpah,dhumpa
menumpahi,numpae
murka,duka
memurkai,nukae
dupa,dupa
memberi dupa,nupae
gosok,kessot
menggosok,ngessot
kulit,kole'
"menguliti, menyampuli",ngole'e
cari,sare
mencari,nyare
belah,seha'
membelah,nyeha'
cukup,cokop
melengkapi,nyokobi
sobek,care
menyobek,nyare
arti,arte
mengerti,ngarte
adu,addu
mengadu,ngaddu
imam,imam
menjadi imam,ngimame
ya,iya
mengiyakan,ngivai
uji,uji
menguji,nguji
usir,usir
mengusir,ngusir
hitung,etong
menghitung,ngetong
pergi,entar
mendatangi,ngentare
untung,ontong
menguntungkan,ngontongngagi
ubah,oba
mengubah,ngoba
besar,raja
besarnya,rajana
umpama,ompama
umpamanya,ompamana
kuli,koli
kulinya,kolina
kopi,kopi
kopinya,kopina
ibu,ebu
ibunya,ebuna
buku,buku
bukunya,bukuna
arti,arte
artinya,artena
uang,pesse
uangnya,pessena
waktu,bakto
waktunya,baktona
perlu,parlo
perlunya,parlona
kata,oca'
katanya,oca'na
sakitnya,sake'na
hidup,odhi'
hidupnya,odhi'na
dapur,dhapor
dapurnya,dhaporra
pintu,labang
pintunya,labangnga
kapal,kapal
kapalnya,kapalla
lain,laen
lainnya,laenna
hangus,angos
hangusnya,angossa
pakaian,angguy
pakaiannya,angguyya
tetap,tettep
tetapnya,tettebba
cukup,cokop
cukupnya,cokobba
rapat,rapet
rapatnya,rapedda
rakyat,ra'yat
rakyatnya,ra'yadda
pabrik,pabrik
pabriknya,pabrigga
cemara,sopak
cemaranya,soppagga
Kata bilangan,B
"sangat, benar",ce'
lebar,lebar
sangat lebar,ce' lebarra
tuli,gupek
sangat tuli,ce' gupegga
sayang,eman
sangat sayang,ce' emanna
besar,raja
menjadikan teman,makanca
Adik menjadikan teman tetangga yang baru,Ale' makanca tatangga se anyar
memajukan,mamaju
Keinginannya untuk memajukan bangsa dan dirinya sendiri,Pangaterrona kaangguy mamaju bangsa sareng aba'na dibi'
melancarkan,malancar
Kapal-kapal ALRI tidak sedikit  membantu melancarkan perhubungan,Pal-kapal dhari ALRI ta' sakone' se abanto malancar perhubungan
menjadikan sedikit,masakone'
PELITA mempersedikit pengangguran.,PELITA masakone' pangangguran
bersekolah,asakola
Apa artinya bersekolah kalau tak bisa bekerja,Ponapa artena asakola manabi ta' oneng alako
bekerja,alako
Orang-orang sama/pada bekerja di sawah.,Reng-oreng padha alako e saba
dijala,ejala
Ikan yang dijala cukup diasin saja,Juko' se ejala cokop eassen bisaos
dianggap,eanggep
Pandangan hidup yg lalu/lampau pada ketika ini sudah dianggap kuna,Pandengngan odhi se tapongkor e bakto samangken ampon eanggep kona
diperbesar,eparaja
Pekerjaan yang kurang berguna diperbesar,Kalakowan se korang parlona eparaja
diperbanyak,epabannya'
Pengeluaran diperbanyak tiada keruan,Pangalowaranna epabannya' ta' karowan
dibawa/dijadikan kebawah,epakaba
Tali jemuran yang agak tinggi dikebawahkan,Tale jemmoran se abak tenggi epakabba
yang lalu,tapongkor
Pada waktu yang lalu masih belum banyak orang yang mengerti,E bakto se tapongkor gi' ta' bannya' oreng se ngarte
terjepit S tak disengaja,takepe'
Tangannya tercepit  pintu,Tanangnga takepe' ka labang
penunggu,panogu
Penunggu sungai ini ular besar,Panoguna songay reya olar raja
penghangat,panganga'
Penghangatnya kompor kecil,Panganga'na kompor kene'
Anak-anak ingin  berumah sendiri,Na'kana' terro abengkowa dibi
akan dapat,bisa'a
Tidak ada pemikiran bagaimana ikan akan dapat tahan lama,Tadha pamekkeran kadi ponapa juko' bisa'a tahan abit
akan  merah,mera'a
Jambu air itu akan  merah,Kalampok rowa gi' mera'a
akan  dua,dhuwa'a
Anaknya hampir akan menjadi dua,Ana'na para' dhuwa'a
"jelimat, ruwet",jalimet
Hitungan ini jelimat benar,Etongan areya ce' jalimedda
pemerintah,pamarenta
Pemerintah Pusat Indonesia ada di Jakarta,Pamarenta Pusat Indonesia badha e Jakarta
doa restu,pamoji
Doa restu ibu sangat baik,Pamojina ebu ce' saena
"perasaan, hati kecil",karettek
jangan kamu berperasaan jelek terhadap orang itu,Ba'na ja' akarettek juba' dha' oreng jareya
pasti,penasthe
Anaknya pasti naik pangkat,Ana'na penasthe ongga pangkat
terkabul,tomekka
Niatnya terkabulkan benar sekarang,Hajadda tomekka onggu sateya
konsonan pertama KD,K
pengertian,pangarteyan
Petani sudah mempunyai pengertian banyak,Oreng tene ampon bannya' pangarteyanna
pemikiran,pamekkeran
Tidak ada pemikiran bagaimana ikan akan dapat tahan lama,Tadha' pamekkeran kadi ponapa juko' bisa'a tahan abit
penerangan,panerrangan
Petani sudah mempunyai pengertian yang banyak berkat penerangan Pemerintah,Oreng tane ampon bannya' pangarteyanna berkat panerrangan dari pamarenta
kerumahtanggaan,karomatangga'an
Hal yang berguna  kerumahtanggaan,'Hal se aguna dha' karomatangga'an
pekerjaan,kalakowan
Pekerjaan yg kurang berguna diperbesar,kalakowan se korang parlona eparaja
kebaikan,kasaeyan (kasaeyan)
Kebaikan yang menguntungkan kepada semuanya,kasaeyan se ngontongngagi dha' sadajana
kebanyakan,kabannya'an
Kebanyakan sudah mengerti,kabannya'an ampon ngarte
perbedaan,parbida'an
pertolongan,partolongan
perdagangan,pardagangan
perbantuan,parhantowan
akan dilihat,etengalana
akan melihat,nengalana
Sangat cukup menjalankan hidup/kehidupan,Ce' cokobba ajalannagi odhi'
Asin merempahi ikan,Accen malappae juko'
Kalau diperbandingkan keadaan pulau Madura perbedaannya sangat besar dari jaman  lampau,Manabi ebandhingngagi kabadha'an polo Madura parbida'anna ce' rajana dhari jaman se tapongkor
Pemerintah menuntun serta membimbing rakyat kepada pekerjaan yang menguntungkan kepada semuanya,Pamarenta nonton serta abimbing ra'yat dha' lalakon se ngontongngagi dha' sadajana
kerja,lako
Yang laki-laki dipisahkan dari yang perempuan,se ke'-lake' epesa dhari se ne'-bine'
laki,lake'
Mudah-mudahan kamu akan lulus,Moga-moga ba'na lulusa
semoga,moga
berasal dari bahasa asing lain,A
berasal dari bahasa Belanda,B
bagaimana,bgm
tingkatan bahasa halus,bh
bahwa,bhw
bahasa kasar,bk
tingkatan bahasa rendah,br
tingkatan bahasa tengah,bt
tingkatan bahasa tinggi,btg
dengan,dng
dan lain lain,dll
dalam,dlm
daripada,dp
dapat,dpt
dari,dr
dan sebagainya,dsb
dan seterusnya,dst
harus,hrs
berasal dari bahasa Jawa,J
kepada,kpd
karena,krn
kata,kt
lihat,lih
maka dari itu,mdi
misalnya,mis
nama,nm
pada,pd
peribahasa,pr
singkatan,S
"sebangsa, sejenis, semacam.",sb
sama dengan,sd
sampai dengan,s/d
sudah,sdh
sampai,smp
seperti,spt
supaya,spy
sesudah,ssd
tidak,tdk
tentang,ttg
tetapi,ttp
untuk,unt
yang,yg
badan,aba'
sebadan,saaba'
"hanya sendiri, hanya diri sendiri",ba'-saaba'
diri sendiri.,aba' dibi'
agak.,abak I
"membasahi badan bagian atas, mandi setengah badan.","abak II, bak-abak"
"siang, sore",aban
waktu siang hari.,ban-aban
awang-awang,abang
terbang,ngabang
menerbangkan.,ngabangngagi
terbangnya.,pangabangnga
kapal terbang .,kapal ngabang
lihat,abas
melihat,ngabas
"penglihatan, pemandangan.",pangabasan
bau mulut.,abba
menakut-nakuti.,abbang
terbang,abber
terbangkan,pangabber
terbangnya,pangabberra
kapal terbang .,kapal ngabber
kelihatannya jelas.,abbra
"budak, orang suruhan",abdi
"saya, patik  .",abdina
menghalangi,abeng
terhalang .,kaabengan
menghabiskan,abi'
habiskan.,paabi'
lama,abit
lama kelamaan,bit-abit
lebih lama,abidan
"sementara lamanya, sesudah beberapa lama kemudian .",sabatara abidda
daging yang diiris halus-halus.,abon
"abu, debu",abu I
abu dapur .,abu tomang
"abu-abu, kelabu.",abu II
membuih.,abuk
terasi.,acan
acar .,acar
asam .,accem
asin,accen
"lebih asin, barang yg diasin",accenan
ikan asin,juko' accen
telur asin.,tellor accen
"adab, kelakuan yang baik, sopan.",adab
adam .,adam
"adan, bang.",adan
adat.,adat
adas .,addas
hadang,addhang
menghadang.,ngaddhang
hadap,addhep
menghadap,ngaddhep
mencoba mengenakan,addhu
"tidak baik, tidak terpilih karena jelek  .",ta'addhu
sangat menginginkan,addreng
"menjadikan sangat ingin, menggalakkan, mendambakan.",maaddreng
alamat.,addres
"adu, lomba",addu
"mengadu, memperlagakan, melombakan",ngaddu
suka memperlagakan,ngadduwan
"perlombaan, sering menang dalam perlombaan.",adduwan
"tegak berdiri, memangku suatu jabatan.",adek
"tidak ada, habis.",adha' I
depan,adha' II
"paling depan, paling dahulu",dha-adha'
"sebelumnya, mula-mula, semula",dha'-adha'na
"datang lebih dahulu dari waktu yang ditetapkan, lebih cepat",ngadha'
"terlalu berani, terlalu ada di depan",dha'-ngadha'
"mengedepankan, mengajukan ke depan",mangadha'
bagian depan rumah,adha'an
"lebih dulu, ke depan",ka adha'
"seketika, sekaligus",sekaleng adha'
"terlalu ke depan, tiba lama sebelum waktunya, terlalu awal",tangadha' gallu
"tak terselesaikan, tak terhabiskan",ta'ngadha'
tak diketahui apa yang menjadi sebab permulaannya .,ta' etemmo dha-adha'na
kata seru,adhu
"berseru karena kesakitan, mengaduh-aduh.",ngadhudhu
adil,adil
mengadili,ngadili
pengadilan.,pengadilan
adpokat .,adpokat
jerang,adun
menjerang air,ngadune
"kopi tubruk, kopi tak disaring .",kopi adun attas
mandi untuk menyucikan diri dari hadas besar,adus
memandikan mayat.,ngadusi
"pembela, advokat.",advokat
"aib, hina.",aeb
air,aeng
air surut,aeng kene'
air masak,aeng massa'
air mentah,aeng matta
air pasang,aeng raja
air zamzam,aeng samsam
air soda,aeng sodha
permukaan air.,mowana aeng
hafal,afal
menghafalkan,ngafallagi
hafalan.,afalan
"serenta, begitu akan melakukan sesuatu.",aga
agama.,agama
agar-agar .,agar
pakai,agem
"memakai, mengenakan",ngagem
barang atau senjata yang selalu dipakai sebagai pelengkap dalam berpakaian.,ageman
"agenda, buku harian.",agendha
"ingin lekas, segera.",ager
halau,agga
alat penghalau,ga-agga
menghalau.,ngagga
lagi,aggi
sebentar lagi.,sakejja' aggi'
berem .,aggrem
kelak.,aggu'
kebanggaan.,agul
agung,agung I
ingin dianggap sebagai orang besar,keagungan
jaksa agung,jaksa agung
"orang bangsawan, orang yang berpangkat tinggi",oreng agung
tuhan yang maha besar .,pangeran se agung
"embah, nenek.",agung II
"suara yang berat dan bagus, suara bariton, suara besar.",agur
agustus .,agustus
hari minggu.,ahad
akhir,aher
"jaman akhir, kiamat .",jaman aher
akhirat.,aherat
ahli.,ahli
aja nenek moyang .,aja emma'
mengigau.,aja
ajak,ajak
mengajak-ajak,jak-ajagan
mengajak,ngajak
mengajak bekerja bergotong royong.,jak-ngajak
ayak,ajak
mengayak,ngajak
ayakan .,pangajagan
ajal.,ajal
ayam,ajam
ayam betina,ajam bine
ayam jantan .,ajam lake
"ayanan, epilepsi .",ajan
"sekita, seharga",ajang
secukupnya menurut harga yg sebenarnya.,saajangnga
"ajar, belajar",ajar
mempelajari pelajaran,jar-ajaran
"mengajar, menghajar",ngajar
"pelajaran, pengajaran",pangajaran
menumbuk dengan benda tajam.,ajek
"nilai, harga",aji I
menghargai.,ngaji'i
jual mahal.,ji-maaji
kesaktian.,aji II
"ajib, aneh.",ajib
harga,ajin
menghargai.,ngajine
jangan  .,ajja'
haji,ajji
naik haji .,ongga ajji
aju raden ayu  .,aju radin
"aju, maju",aju
memajukan,mamaju
kemajuan.,kemajuwan
menonjol .,ajul
"memberkaskan, mengumpulkan jadi berkas-berkas yang teratur.",ajum
akad nikah .,akad
akal,akal
mengakali.,ngakale
"seperti, sebagai  .",akantha
menaksir harganya,akat
setinggi harga yang ditawarkan.,saakadda
akik .,akek
"aki, accu .",aki
mengaku.,ako
"ukur, rukun.",akor
"aksara, huruf",aksara
"huruf jawa, huruf ana-ca-ra-ka",aksara jaba
aksara latin .,aksara laten
akuarium.,akuwariyum
alam,alam
ilmu alam .,elmo alam
alamat.,alamat
penghalang,alang I
"menghalangi, mendepani",ngalang
halangan.,alangan
"alang-alang, lalang.",alang II
"alas, hutan",alas
rimba,alas raja
"hewan, dunia hewan, fauna",burun alas
tembok yang memagari sekeliling rumah,pagar alas
album.,album
adik  .,ale'
terlalu manis.,alek
"alim, saleh, taat menjalankan perintah agama",alem
alim ulama .,alem olama
sanjung.,alem
menyanjung,ngalem
suka sanjung.,aleman
tabir atau tirai yang digunakan spy orang lain tak dapat melihatnya,aleng
"I mungkir, tdk mengaku II bersembunyi dibalik tabir",ngaleng
"terlindung, tersebunyi, tidak kelihatan karena terhalang oleh tirai atau tabir.",kealengan
"alis, kening",ales
alisnya seperti semut beriring  .,alessa adhaun memba
lapar  .,algung
sangat haus.,alhang
alias.,aliyas
"Allah, Tuhan",alla
Tuhan,guste alla
pindah,alle
"memindahkan, berpindah rumah, berpindah",ngalle
"mudah berpindah/menular , pindahan.",alleyan
alumunium.,alumuniyum
mengusik-usik sesuatu .,alo
"tersohor, ternama.",alok
"alum, layu .",alom
alun-alun.,"alon, lon-alon"
halus,alos
I menghaluskan II melembutkan hati orang yang sedang marah.,ngalosi
basi .,aloy
"mudah hancur, lapuk.",alpo'
terlempar.,alto'
amal,amal
mengamalkan.,ngamallagi
hadang,amba'
menghadang.,ngamba'
sekuat tenaga bekerja sampai seakan-akan akan mati.,amba
datang setiap kali dengan berduyun-duyun,ambal
datang dengan jumlah berduyun-duyun.,ngambal
jauh.,amban
pelan-pelan tanpa ditekan.,ambar
tarik,ambat
menarik tali.,ngambat
ikat pinggang kuda.,amben
piring  .,ambeng
sedikit demi sedikit .,ambi
balai-balai.,ambin
ambon .,ambon I
"pisang ambon, pisang raja .",ambon II
supaya.,ambri
berhenti,ambu
"istirahat, berlepas lelah",bu-ambu
menghentikan,maambu
"hentikan, jangan dikerjakan sekali lagi.",ambuwi
usah,ambu
"tak usah, tanpa .",ta' ambu
"tak hendak lagi karena marah, pergi karena marah/mendongkol, ngambek .",ambul
ambulan.,ambulan
bulukan.,ambung
hidung,ambung
mencium  .,ngambung
cerita tentang nabi-nabi.,ambya
kalau-kalau,ame'
kalau-kalau .,me'-ame'
berbau tidak enak karena bekas berpeluh.,ameng
amerika.,amerika
"hanyir, amis .",ames
"minta permisi, minta diri",amet I
minta diri  .,nyo'on pamedan
silakan pergi .,amet II
amin.,amin
"mana, yang mana",amma
"mana, yang mana .",ka'amma
amuk,amok
mengamuk.,ngamok
mendatangi dengan jumlah banyak .,ampa
mendatangi dengan jumlah banyak,ampak
"berjalan dengan jumlah banyak, datang sekaligus bersama-sama.",pak-ampagan
hampar,ampar
menghampar.,ngampar
ampas.,ampas
tambahan bangunan kecil yang ditempelkan kepada rumah pokok.,ampe'
rasa berat/kuat .,ampek
memeluk erat.,ampel
"ampelas, kertas gosok penghalus sesuatu yang kasar.",ampellas
serambi,amper
serambi.,per-amper
tidak keluar lagi,ampet
"menahan agar tidak keluar lagi , menahan agar tidak kerucapkan .",ngampet
amplop.,amplop
kadang-kadang.,ampo
"sudah, selesai",ampon
"sesudahnya, selesainya.",saamponna
ikut serta .,ampong
"penuh sama sekali, penuh sampai batas teratas.",ampos
ampun,ampun
mengampuni,ngampune
minta ampun .,menta ampun
anak,ana'
boneka,na'-ana'an
mengawinkan .,matowa ana'
"anacaraka, abjad jawa.",ancaraka
tetapi  .,anangeng
"pemandangan, pandangan mata.",anap
mengapa,anape
mau apa  .,anapeya
mengancam untuk memukul.,anar
pukul,ancan
memukul dengan tangan atau sebuah benda.,ngancan
"hampir meluap, menggenang.",ancap
rasa asam-asam manis.,ancar I
mencair.,ancar II
masuk betul.,ancep
tanda batas,ancer
tanda sebagai pedoman/penunjuk.,cer-ancer
bersetubuh,anco'
menyetubuhi.,nganco'
hancur.,ancor
menjerang air.,andel I
barang/orang yang dibanggakan,andel II
"mempongah-pongahkan atas seseorang, mengandalkan.",ngandellagi
anai-anai.,ane
tangga.,andha
"sopan santun, beradab .",andhab
"bianglala, pelangi.",andhang
rendah.,andhap
tidak lagi datang bulan karena mulai bunting.,andhek
menghalangi pandangan ke depan.,andheng
menghadapkan sesuatu kepada sinar supaya tidak silau.,andher
"umpama, umpamakan",andhi
"menirukan, mengumpamakan",ngandhiyagi
"umpama, laksana.",dha-andhi
punya,andhi'
memiliki sesuatu,dhi-andhi'
"punya nomer, punya nama yang cukup dikenal",andhi' nomer
"mempunyai nama, terkenal .",andhi' nyama
andil.,andhil
"mengandung, menyimpan, memiliki",andhu
menaruh maksud yang kurang baik .,ngandhu semmo
"anduk, tuala.",andhuk
mendorong dengan kepala.,andhus
datang pada sebuah tempat untuk mengerjakan sesuatu tertentu.,andun
hangat,anga'
menghangatkan,nganga'
menghangatkan diri,maanga'
"hangat-hangat kuku, setengah panas .",nga-anga' koko
terlambat datang sehingga tak mendapatkan apa-apa .,angar
mendinginkan nasi yang masih panas dengan mengangin-anginkan/mengipasi.,ange
angin,angen
"angin keras, angin ribut",angen barat
angin ribut di selat Madura,angen gendhing
angin ribut,angen ribut
kipas angin,kipas angen
ventilasi,lobang angen
hujan angin .,ojan angen
"sombong, pongah.",angga'
menampakkan diri dengan penuh perhatian semata-mata ingin mengetahui.,anggal
orong-orong .,anggay
anggap,anggep
"menganggap, melakukan sebagai famili.",nganggep
"selagi, serenta .",angger
"merenda, mengerawang.",anggi
bunga anggrek.,anggre'
alat penjepit misai atau jenggot.,anggu'
anggur.,anggur
"pakai  , pakaian",angguy
"memakai, mengenakan",ngangguy
"untuk, buat",keangguy
sesuatu yang dipakai/dikenakan,pangangguy
sesuatu yang selalu digunakan .,angguyan
angka.,angka
angkat,angka' I
mengangkat.,ngangka'
jamuan,angka' II
menyajikan makanan/jamuan,ngangka'
makanan untuk jamuan.,angkadan
"angkara, tamak, loba, serakah.",angkara
angkat,angkat I
mengangkat .,ngangkat
berangkat.,angkat II
"menganggap sebagai anggota, mengakui sebagai warga.",angken
angkis,angkes
mengangkis.,ngangkes
angklung .,angklung
angkuh.,angko'
angkut,angko' I
mengangkut.,ngangko'
angkut-angkut .,angko' II
tempat membakar arang.,anglo
sakit .,anglo
mengambil karena sudah selesai .,anglot
"lahap, selalu ingin makan karena habis sakit.",ango
"lebih baik, yang lebih disenangi.",ango'
hangus.,angos
"asal, asal saja.",angsal
"berpindah tempat dengan mendesak orang lain, beringsut.",angsek
"berpindah tempat dengan mendesak orang lain, beringsut.",angset
"I mengangsur, mencicil II terengah-engah.",angsor
"ke mari, ke sini  .",anja
lasak pada bayi karena sakit/akan sakit.,anja'
mendorong dengan perut bagian bawah.,anjet
bersetubuh,anjin
menyetubuhi .,nganjin
berayun-ayun.,anjin
makin menjadi .,anjra
menggendong anak untuk mengajak bermain-main.,anju
terlanjur.,anjuk
"terpelanting-pelanting karena jalan yang dilalui berbatu-batu atau tak rata, terombang-ambing kena ombak.",anjul
mengangkut sedikit demi sedikit.,anjur
"hampir hancur, terlalu lunak/cair .",annyong
anu,ano
paman.,anom
anut,anot
menganut,nganot
I orang yang dianut II sesuatu yang dibuat dari bambu yang ditancapkan ditanah yang digunakan sebagai alat pembantu anak kecil belajar berjalan.,tanodan
"payau , setengah masak .",anta
antara,antara
antara lain .,antara laen
memintal.,ante
menghantam.,antem I
"hanyir, amis .",antem II
antena.,anten
"tenang, diam .",anteng
melempar.,antep I
"mantap, kena betul.",antep II
"antero, segenap, seluruh.",antero
cukup masak .,antes
"besi kaki kuda, tapal kuda",anthok
memakaikan/mengenakan tapal kuda .,nganthogi
"antik, kuna.",antik
"ke mari, ke sini  .",anto
"terlempar, terpelanting.",antol
tambahan penutup ruangan/atap di bagian depan rumah.,antong
"langgar, tubruk, antuk",antor
"melanggar, menubruk, berantuk",ngantor
terantuk.,taantor
nanti,antos
menanti,ngantos
menanti-nanti.,tos-antosan
antre,antri
mengantre.,ngantri
anyam,anyam
menganyam,nganyam
anyaman.,anyaman
makan sayuran tanpa nasi.,anyang I
rasa sesak/penuh dalam perut.,anyang II
baru,anyar
membaharui,nganyare
"tahun baru, permulaan tahun .",taon anyar
ani-ani,anye I
menuai padi,nganye
musim menuai padi .,mosem anye
merengek-rengek.,anye II
hanyut,anyo'
"menghanyut-hanyut, menghanyutkan diri.",aanyo'
alat/tempat berteduh,aop
berteduh.,ngaop
apa,apa
mengapa,arapa
mau apa,arapa'a
apa saja,apa'an
seberapa,saapa
mengapa,kadi ponapa
tidak apa-apa .,ta'aparapa
"apek, apak.",apa'
pohon api-api.,ape
"apek, apak.",apek
pembantu kepala desa dalam ketertiban desa.,apel I
upacara.,apel II
minta keadilan kepada tingkatan yang lebih tinggi .,apel III
kue apam .,apen
apit,apeng
mengapit.,ngapeng
"sial, tak beruntung",apes
membawa kesialan.,ngapese
apit,apet I
mengapit.,ngapet
"ingin ikut terus, rapat hubungan.",apet II
alat pembujuk,apos
membujuk .,ngapose
apotik.,apotik
api,apoy
"memberi api, memanasi dengan api.",ngapoye
appel .,appel
april .,april
berkehendak bertemu untuk menuntut balas,ara I
"yang dimaksud, yang dituju",pangara
"bermaksud, berkehendak.",apangara
arah,ara II
mengarahkan tujuan,ngara
mengarahkan.,ngara'agi
"barangkali, mungkin.",ara III
nama pohon sebangsa waringin.,ara IV
arab.,arab
memaksa-maksa diri .,aradda
mengarak,arak I
arak-arakan.,rak-aragan
arak .,arak II
"aral, halangan, rintangan.",aral
"karena, sebab.",aran I
"menyangka, menuduh.",aran II
melayang.,arbang
berdebu,arbes
beterbangan debunya.,ngarbes
serbuk .,arbu'
cabut,arbut
mencabut tanaman sampai akarnya.,ngarbut
"arca, patung.",arca
arcis .,arcis
"menyiangi, melonggarkan tanah.",ardhung
"hari, matahari",are I
sehari,saare
sehari,areyan
bunga matahari,kembang mata are
hari akan senja,dhung-ondhung are
matahari akan terbenam .,sorop are
kayu kalang diatas mayat .,are II
arit,are'
mengarit.,ngare'
arang.,areng
harap,arep
mengharap,ngarep
ada yang diharapkan,pangarep
pengharapan.,pangaraban
ini,areya
harga,arga
menghargai,ngargai
jual mahal,ga-maarga
"harga pasti, harga mati .",arga poket
arisan.,"aris, arisan"
haus.,arjang
alat penyodok,arju
"menyodok dengan galah atau sesuatu yang panjang , mendorong galah.",ngarju
arjuna.,arjuna
"rakus, tamak, loba, serakah.",arkat
arloji.,arloji
renyah.,armos
"arnal, tusuk rambut dari kawat.",arnal
memberi air panas kepada nasi yang setengah masak supaya lekas masak.,aro I
menegur orang lain yang berbuat salah.,aro II
arpus .,arpus
pohon enau.,arren
harta.,arta
kacang ijo.,arta'
artate .,artate
arti,arte
mengerti,ngarte
"memberikan arti, memaksudkan",ngarte'e
pura-pura mengerti.,te-mangarte
arum manis .,"arum, arum manis"
arwah.,arwa
asal.,asal
"waktu asar, sore hari",asar
"waktu asar, sore hari",sar-asar
"waktu hampir magrib, waktu matahari terbenam .",asar maba
kering tak berair .,asat
"asbak, tempat abu rokok.",asbak
"asih, kasih, cinta",ase
"mengasihi, mencintai.",ngase'e
hasil,asel
penghasilan.,pangaselan
asap.,asep
asyik.,asik
asli.,asli
nama,asma I
"dengan nama, atas nama .",bit asmana
"penyakit asma, penyakit sesak napas.",asma II
"mantera, jampi.",asma'
membersihkan dengan air .,asor I
aspal.,aspal
"asri, sedap dipandang, indah.",asre
"ke sanalah, silakanlah  .",assa
asam .,assem
asin.,assen
bersin,assim
bebersin,aassim
sering bersin.,assiman
bau yang menusuk hidung.,assreng
tangan,asta I
"sesuatu yang dipegang  , apa yang diurus untuk dilaksanakan.",asta'an
kuburan  .,asta II
sampai hati.,astaba
kata seru yang menyatakan keheranan.,astaga
