Indonesia,Madura
pahlawan Trunojoyo telah tersohor dipulau Madura.,pahlawan Trunojoyo ampon kaalok è polo Madhurâ
kayu yang sudah lapuk.,kaju sè ella alpo'
dilempar sangat jauh,èpangalto' cè' jhâuna
terlempar sangat jauh.,ngalto' cè' jhâuna
"kalau mengira dari cara berjalannya yang langkahnya berat, barangkali sungguh banyak yang diperoleh.","mon tangghu ḍâri ambeddhâ jhâlânna, masè bânnya'a ongghu ollèna"
tidak perlu memberi tahu kepada siapa-siapa.,ta' mambhu alâ-bâlâ ḍâ' sapa bhâi
sudah diberi tapi masih ngambek,marè èberri' tapè ghi' ngambhul
anak itu cepat-cepat pulang karena sedang marah,kana' arowa dhuli molè polana ngambhul
orang yang luka dan patah kakinya karena kecelakaan cepat diangkut ke mobil ambulan su paya dibawa ke rumah sakit.,orèng sè loka bân potong sokona amarghâ kecelakaan dhuli èangko' ḍâ' mobil ambulan ma'lè èghibâ ka roma sakè'
meskipun pakaiannya telah bulukan tapi masih selalu dipakai.,maskè kalambhina ella ambung tapè ghi' èangghuy bhâi
menerka-nerka apa sudah menjadi milik seseorang,mè'-amè' anḍi'na orèng
mau kemana dirimu wahai adikku,"ko'ammaa dhika lè' "
anak itu kesurupan seta,kana' rowa èampèè sètan
tamunya dipersilahkan duduk di ruang tamu.,tamoyya èpalèngghi neng ampèr
orang gila itu sering mandi di sungai.,orèng ghilâ arowa ampo mangi è songay
saya telah menghilangkan uang,kaulâ ampon maèlang pèssè
kamu telah lama tidak datang.,dhika ampon abit ta' ḍâteng
saya masih menumpang tinggal dirumah pama,sèngko' ghi' ngampong è romana ghuttè
anak yatim piatu,ana' ko'ong bunter
alangkah banyak anaknya,"ana'na mè' mè-ngrèmè "
"siapakah itu yang meninjing sayur bayam, mengambil bulatan berwadah nangka, siapakah itu yang punya seorang anak, meskipun pandai tetap bersikap manis, tidak sembrono","sapa rowa nambi' torna', ngala' oter bâḍḍhâ nangka, sapa rowa anḍi' ana', sala pèntèr bi' jhâtmèkana "
"siapakah itu yang menjinjing sayur bayam, burung perkutut dilehernya melilit warna putih, siapakah itu yang punya seorang anak, walaupun pandai sangat baik hati","sapa rowa namhi' tarna', mano' pater lè'-lè' potè, sapa rowa amḍi' ana', sala pènter beccè' atè "
"siapakah itu yang menjinjing sayur bayam, bumbu kencur yang di rebus, siapakah itu yang punya seorang anak, sopan santun tutur katanya.","sapa rowa nambi' tarna', plappa kencor la-kellana, sapa rowa anḍi' ana', anḍhâp asor pon cacana "
mau apa kamu datang kesini?,"anapèa dhika ma' kaanto'? "
"jangan amang-amangan dengan pisau, nanti diadu seta","jhâ' nar-nganaran bi' toḍi' , ḍâgghi' èaddhu sètan"
rumahku tergenang oleh air,tang roma èancap aèng
tancapkan yang lebih dalam,ancepaghi sè lebbi ḍâlem
dikatakan kepada orang yang suka menyela pembicaraan orang namun perkataannya selalu salah.,"dhujân nganco'an caca "
sopan santun ia sebagai seorang wanita.,anḍhâp asor atèna jbumenneng jhâlma bâbinè'
menyenangkan tingkah lakunya dan manis tutur languagenya.,lèbur ghulina manès andhikana
memberikan kekuasaan atau wewenang terhadap orang lain dengan sukarela tanpa paksaan,"anḍi' jhâlu mandhi tajhem, èangghuyaghi ka orèng "
"siapakah itu yang punya sayur bayam, kemuning banyak buahnya, siapakah itu yang punya seorang anak, walau berkulit kuning juga molek wajahnya","sapa sè anḍi'  tarna' , kamonèng rèng lebbhâ' buwâna. sapa sè amji' ana', sala konèng rèng seḍḍhâ' robâna "
"siapakah itu yang punya sayur bayam, mangga arum manis akan dibungkus, siapakah itu yang punya seorang anak, kok manis bibir bawahnya","sapa rowa anḍi'  tarna' arum manès èbârjejhâna, sapa rowa anrji'  ana', ma' manès bibir bâbâna "
"ini pisau ini kapak berkepala, mengiris mentimun terpotong diujungnya, kalau kepunyaanku jangan diganggu, jika bertemu kamu akan patah rusuknya","ya' toḍi' ya' calo', ngerra' tèmon potong konco'na, mon tang anḍi' jhâ' lo'-alo'mon katemmon polong roso'na "
"kalau sentolop lampunya maling, jika dinyalakan tidak ada baterainya, meski cinta tapi sudah jadi milik orang, meski menunggu tidak ada keuntungannya.","mon sènter dhâmarra malèng, mon èpettè' aḍâ' bâtona, makko nèser jhâ' la anḍi'na orèng, makko aḍântè' aḍâ' parlona "
tadi mengatakan tidak mau namun akhirnya dimakan juga,ghi' bhuru ngoca' ta' enḍâ' anèng pas èkakan kèya
"meski hatinya masih marah, namun dia masih senyum-senyum saja.","maskè atèna ghi' pegghel, anèng dhibi'na ghi' sem-mèsem"
anginnya semakin lama makin ribut,angènna sajân abit sajân bhârât
seseorang yang tidak peduli akan sesuatu hal yang seharusnya mendapat perhatian penuh,"ngangghuy kopèng tèngel "
karena ini tidak kunjung selesai-selesai.,angghuna rèya ta' kacjhik rè-marè
orang yang baru datang itu kelihatan sangat angkuh.,orèng sè ghi' bburu ḍâteng rowa katon cè' angkona
mengakui tanah milik tetangganya sebagai miliknya.,nganglat tana tetangghâna
saya sudah merasa,sèngko' ella angrasa
selalu merasa benar.,angrasa bhenḍer malolo
"berayun-ayun saling banting saling ngobrol, menciduk air hanya terisi semangkok tempurung besar, akan dipakai mandi setelah bangun tidur","jan-anjin lang kocèpa' lang kocèbhung, nyello' aèng ghân sabhâghung, kapamḍi jhâghâna tèḍung "
adonannya sangat cair.,adhunanna cè' annyongnga
tidak terlalu lama,ta' antara abit
karena sangat marah tidak sengaja menghantam temannya.,polana cè' pegghellâ ta' sengaja ngantem kancana
anaknya sangat tenang jarang menangis.,ana'na cè' antengnga ta' toman nangès
kakekku menghisap rokok dengan memakai alat hisap.,tang emba aroko' ngangghuy anṭok
saya ingin pulang karena sudah ditunggu tamu.,kaulâ palèmanna amarghâ ampon èantos tamoy
kelihatan masih baru,katon ghi' anyar
"paling enak ketan yang masih baru, buat kolak tapi tidak ada lauknya, paling enak jadi pengantin baru, badan terasa dingin ada yang memasangi selimut.","palèng nyaman plotan anyar, ghâbây kolek ta' èjhuko'è, palèng nyaman mantan anyar, bhâdhân cellep bâḍâ sè nyapo'è "
terhanyut ombak besar,teanyo' ombâ' rajâ
apanya yang kurang?,apana sè korang?
"dikatakan kepada seseorang yang berpura-pura diam dan tenang menghadapi kekalutan, dia hanya menunggu kesempatan untuk bertindak.","pè-apè tengghiling matè "
tidak akan sial,ta' kèra apes
aku minta maaf padamu,"bulâ asaporaa ka dhika "
semoga semua dosa kita dimaafkan oleh yang Maha Kuasa.,malar mandhâr sakabbhinna dhusa kaulâ bân panjhennengan sadhâjâ èsaporaaghi hi' sè kobâsa
menghidupkan api kemudian memasak air,ngoḍi'i apoy pas ngandhel aèng
tangannya terbakar api,tanangnga èkello' apoy
kalau tidak berhalangan saya akan pergi ke surabaya.,mon tacḍâ' aral sèngko' èntarra ka sorbhâjâ
mengapa bisa begini?,arapa ma' bâriyâ?
mengapa anak-anak bersorak bersama-sama?,arapa na'-kana' pas paḍâ asorak
tubuh terasa seperti melayang-layang.,bhâdhân arassa kaḍi' bâng-ngarbâng
debu berterbangan kemana-mana,arbhes ka man-kamman
diterbangkan oleh angi,èarbhessè bi' angèn
"hari Ahad, Minggu, Senin Selasa, Rabu, Kamis, Jumaat, Sabtu","arè Ahad, Mènggu, Sennèn, Selasa, Rèbbhu, Kemmès, Jhuma'at, Sabto"
sehari rasanya bertahun-tahun,saarè rassana ataonan
"walau semua pengharapan dan janji telang hilang untuk selamanya, namun dirimu tetap ada dihatiku.","sanajjhân sakabinna pangarebbhân tor jhânjhi pon la sèma salanjhângnga, namong dhika pagghun bâḍâ è atè bulâ"
anak yang nakal oleh gurunya dihukum berdiri di depan kelas.,kana' sè mellèng bi' ghuruna èerrès manjheng èaḍâ'na kellas
ini pohon apa?,arèya bhungkana apa?
orang ini tidak mendengarka,orèng arèya ma' ta' ngèḍingaghi
harganya kain sutra sangat mahal,arghâna kain sotra cè' larangnga
jangan terlalu serakah.,jhâ' kat-arkat ghâllu
jangan berebutan harta,jhâ' arebbhu'ân arta
supaya saya bisa mengerti,ma 'lè bulâ pas ngartè
pura-pura mengerti tapi sebenarnya tidak mengerti,tè-mangartè tapè sanyatana ta' ngârtè
asal mula dunia,asal dhunnya mola
asalkan sembuh marilah cepat sembuh.,asal bârâs mara dhuli bârâs
waktu matahari akan terbenam di pantai camplong,asar mabâ è pasèsèr camplong
"kalau tiba waktu matahari akan tenggelam, sapinya dihalau untuk pulang.","mon la asar mabâ, sapèna èghiring molè"
sumurnya telah menjadi kering semua dimusim kemarau,somorra ella asat kakabbhi è mosèm nèmor
"kalau air laut kering tidak berair, air surut beraliran, kalau orang laki bangsat, orang perempuan jauh melebihi.","klamon aèng tasè' asat, aèng kènè' li-ghiliân, klamon orèng lakè' bangsat, orèng binè' jhung lebbiân "
dengan menyebut nama Allah yang maha pemurah lagi maha penyayang,bit asma èpon Allah Sè Maa Mora tor Asè
dengan nama Allah seru sekalian alam,bit asma èpon Allah sè morbhâ jhâghât
garam berasa asin,bujâ arassa assèn
bumbunya kurang asi,lappana korang assèn
disuruh berulang kali tapi masih malas,èatak tapè ghi' pagghun males
bapaknya menyuruh-nyuruh berkali-kali.,eppa 'na tak-ataghân
dirimu tetap ada dihatiku,dhika pagghun bâḍâ è atè bulâ
hanya dirimu yang menjadi pelipur hatiku,coma dhika panglèpor atè bulâ
"siang ada di mata, malam ada di hati","sèyang bâgâ è mata, malem bâḍâ è atè"
terpesona hatiku akan dirimu,kapèncot atè bulâ ka dhika
resah hatiku memikirkan dirimu,posang atè bulâ mèkkèrè dhika
kalau hendak membeli pakaian haros dicoba terlebih dahulu.,mon mellèa kalambhi kodhu atok ghâllu
bersaudara harus rukun,paatong sè atarètan
kepada yang mulia,kaatora ḍâ' sè moljâ
tidak bisa diatur.,ta' kennèng èator
seratus ribu rupiah,satos èbu ropèya
dari sini ke atas,ḍâri kanna' ka attas
anak kecil itu tidak akan sampai bisa mengambil kue di atas meja.,kana' kènè' rowa ta' kèra attol ngala' jhâjhân è attas mèjâ
dari mula sampai ke akhir,dâri awwâl napa' ka ahèr
ayo bermain sepak bola,ayu' amaèn tembhung
mari belajar yang raji,ayu' ajhâr sè bhâjheng
wah! kok begini kawan?,bâ! bâriyâ rèng?
kemarin bibiku datang dari Jakarta,bâ'âri' tang bhibbhi' ḍâteng ḍâri Jakarta
kemarin pamanku meninggal dunia.,bâ'âri' tang ghuttè adhinggâl dhunnya
"saya tidak mendukung akan perbuatanmu yang keliru itu, saya tidak mau terlibat dalam hal itu.","bâ 'en ngakan kapor, sèngko'ta'noro' bâ'âng "
"sudah jahat makan hati, dikatakan kepada orang yang melakukan tindak kejahatan diluar batas kemanusiaa","bâbi èdheddhel ka arak "
nasihat dari orang tuanya sama sekali tidak membekas.,bâburughânna rèng towana taḍâ' nyerrebbhâ sakalè
ibu tidur memakai selimut.,"èbhu asarèn ngaghem babut "
"sejelek-jeleknya anak sendiri, orang tuanya masih punya rasa kasiha","ceng-bâcengnga buri ' èceṭṭo 'kèya "
ada yang tidak ada,bâḍâ sè taḍâ'
ada yang kurang,bâdâ sè korang
darah berhadapan dengan darah.,dam badal dam
ada wadahnya bedak sobek,bâḍâ bâḍḍhâna beḍḍhâ' bheḍḍhâ
"ke bluto membeli sarikaya, sarikayanya diwadahi keranjang kecil, besok-besok kalau saya sudah dewasa, akan pamit ke ayah ibu.","ka bluto mellè sarkajâ, ollèna bâḍḍhâi tombhu, mon paghi' bulâ pon rajâ, amèddhâ ka rama èbhu "
"tidak disangka berjumpa denganmu, terkejut lalu saling tersenyum.","ta' èsangka sè tatemmoa so dhika, bâgeggennan pas paḍâ mèsem"
"mengijinkan, mengabulkan, membolehka","mâghi , parèng  "
yang punya bagian,sè anḍi' bâgiân
yang ikut bagia,sè noro' bâgiân
gelang dari bahan akar bahar berwarna hitam.,ghellâng akar bahar
waktu malam di terangnya sinar rembulan,bâjâ malem è tèra'na bulàn
sering terbayang akan wajahmu,abâjâng bhâi robâna dhika
menangis sampai bermata sembab.,nangès dhâghâ bâko'
sudah tiba waktunya,ampon ḍâpa' bâktona
"jangan suka membantah orang tuanya, nanti bisa kena bala.","jhâ' alabânan ka rèng towana, ḍâgghi bisa kennèng bâla'"
"dikatakan kepada orang yang sering bertindak di luar batas, tidak tahu diri, tidak tahu adat.","bâlândhâ ta' tao lojhina "
"belalang kangka' belalang kangkung sendukkan, anak merangka' jatuh terjongkok tolong dijagaka","bâlâng kangka' bâlâng kangkong senḍu' aghi, kana' arangka' labu nèngkong jhâghâaghi "
dikatakan kepada orang yang senng membolak-balik perkataan orang,"pèlak li' mâli' oca' "
"dikatakan kepada orang yang suka berbohong karena mudah bagi orang yang suka lancung, suka mengubah-ubah perkataan orang, suka mengadu-adu orang","mâli'jhilâ taḍâ' nemmo "
tiga puluh delapan,tello polo bâllu'
empat puluh delapan,pa' polo bâllu'
tujuh puluh delapan,pèttong polo bâllu'
delapan puluh delapan,bâllung polo bâllu'
sembilan puluh delapan,sangang polo bâllu'
angin yang tidak teratur tidak diinginkan semoga diberi angin yang tenang.,"angèn bâlusbus ta, èkaterro, moghâ kaparènga angèn pancet"
kamu dan aku.,dhika bân bulâ
lagipun sekarang apa masih ada?,bânangan satèya bhâ' ghi' bâḍââ?
bukan milik saya,bânnè tang anḍi'
yang paling banyak.,sè palèng bânnya'
pergi kemanapun selalu bergandengan tangan,ka bârâ' ka tèmor aton-tonton
"siapa dari barat itu, induk ayam bertelur, tidak ingatkah masa yang lalu, tidak dituruti melongo-longo","sapa bârâ' ro, ajâm korbhi atelloran, ta' ènga'  lambâ' ro, ta' ètorodhi ngo-longoan "
"siapa dari barat itu, menanam talas dipinggir pagar, tidak ingatkah masa yang lalu, dirimu kala matas, enggan belajar","sapa bârâ' ro, namen tales pèngghir paghâr, ta' ènga' Jambâ' ro, abâ' males sengka ajhâr "
"siapa dari barat itu, membawa karung berisi gula, tidak ingatkah masa yang lalu, tiap berhitung, kau selalu bertanya","sapa bârâ' ro, ngèbâ karong èssè ghulâ, ta' ènga' lambâ' ro, sabbhân ètong mènta bâlâ "
"tidak begitu sembuh, orang yang pikirannya tidak waras alias gila",ta' patè bârâs
"diibaratkan kepada orang desa yang baru untuk pertama kalinya pergi ke kota, gugup dan kikuk tindakannya","ta' tao lèbât è bâbâna bâringèn korong "
semoga selalu berbahagia dan menyenangkan kepada seluruh sanak famili sampai usia tua,"rampa'naong, bâringèn korong, adhungket roman "
"rindang teduh, pohon beringin seperti kurung, bertongkat batang padi kering, sampai mencium, menyingkap sarung, ditekan enak.","rampa'  naong, bâringèn korong, adungket roman, napa' nyiom, nyèngkap sarong, ètekket nyaman "
beginilah rasanya jatuh cinta.,bârinto rassana nyancUiâng tarèsna
sesaudara jangan sampai bertengkar masalah warisa,satarètan jhâ' kangsè atokaran marghâna bârisân
"penghidupan orang bermacam-macam, rela hidup menurut penghasilan masing-masing.",pangorèbhânna orèng ana-bârna nyoprè ogi' salè-ollèna
jangan dimakan nasi itu sudah basi.,jhâ' kakan nasè'na ella bâruy
"pinggan, tempat kuah yang bertudung.","basi koḍung, basi totop"
kalau sudah masak lalu angkat dari perapian nak!,mon la massa' pas bâta'aghi bhing!
jenis batu kapur yang keras,bâto bungkal tekalangan
seseorang yang sakit batuk disertai sesak dada,bâto'na cè' serreddhâ
baunya tercium sampai kesini,bâuna èkèḍing ka kanna'
bosan berteman denganmu,bâu akancaan so bâ'na
"jelaskan terang-terangan kalau memang sudah bosan, agar ada kepastia","rang-terrangan jhârbâaghi jhâ' la bâu, ma'lè bâḍâ kapastèan"
anak itu sungguh baik,kana' rowa beccè' ongghu
pecut ini buatan dari bangkala,peccot rèya beddhâlân bhângkalan
bajunya berbekas cat.,kalambhina beḍḍhâk eccèt
belnya sudah berbunyi,bèlla la amonyè
tidak diberi uang belanja.,ta' èberri' pèssè belânjhâ
panas rasanya hati ini ditinggal sendiria,bellâ' rassana atè èdhingghâl kadhibi'ân
"kalau tidak ada yang berbelas hati, siapa yang akan mengasuhnya","mon ta' bâḍâ sè bellâs, sapa sè ngarabâddhâ"
"dikatakan kepada orang yang semula berniat baik tetapi belakangan berniat jelek, umpama : berhutang uang dengan kata-kata manis, tapi dia berniat tidak mengembalikan","bellu' abunto' arè' "
dikatakan kepada orang yang cerdik namun licik sehingga harus berhati-hati menghadapinya.,"lècèn amara' bellu' "
bendera merah putih.,benḍirâ mèra potè
gelang kaki Madura berukiran sungguh bagus sekali.,bènggel Madhurâ akèrokèr cè' bhâghussâ ongghu
rumah itu sangat besar tapi belum ditempati,bengko rowa cè' rajâna tapè ghi' ta' èkennengngè
rumah yang berpagar merah muda itu tadi malam terbakar,"bengko sè apaghâr ennyat rowa, malemma katonon"
yang punya rumah,sè anḍi' bengko
"panjangnya jangan dikurangi, benangnya jangan sampai telisut, sembahyangnya jangan jarang-jarang, mengajinya harus sering.","lanjhângnga jhâ' pakorang, bennangnga jhâ' pasalbut, bhâjângnga jhâ' rang-rangrang, ngajhina pasegghut "
badan terasa pegal semua.,bhâdhân arassa bennyel kabbhi
terasa berat untuk berpisah,berrâ' sè apèsaa
tidak bisa diangkat kerena berat,lo' bisa èangka' polana berrâ'
menarik barang berat,ngèrèt bhârâng berrâ'
"berberak, buang air besar.","akaberrâdhân , ataè "
sangat betah berkumpul dengan seorang pengecut.,cè' bettana apolong maso orèng sè bulu buri'
ingatkah engkau suatu waktu dimasa lalu?,bhâ' ènga'a dhika settong bâkto lambâ' mola?
bersemangat sekali untuk menang,abhâbbhâ' sè terro mennangnga
bersemangat sekali untuk mencari pekerjaa,abhâbbhâ' sè nyarè lako
"orang yang mencari ikan sungguh banyak menghadapi mara bahaya, bisa dikatakan bekerja dengan taruhan nyawanya.","rèng majâng bânnya' ongghu bhâbhâjâna, kabhilâng alako bhânḍhâ nyabâna"
akan dibabat habis semuanya mana yang rimbu,èbhâbhâssa kabbhi mako' imma sè jrumben
orang Madura yang merambah hutan Majapahit.,orèng Madhurâ sè abhâbhât alas majhâpaèt
"dikatakan kepada orang yang sudah dinyatakan bersalah atau dihukum, tapi masih sekali lagi berbuat kesalahan","bhâbhâṭang ngajhâk matè "
badannya te gap kokoh,bhâdhânna ghâ' bhugher
seluruh badan seperti mau roboh.,sanèrbhâna bhâdhân kadhi robbhuâ
bersama-sama untuk membaca tahlil.,bhâḍhi arengsareng maos tahlil
anak laki-laki itu sangat ganteng,kana' lakè' rowa cè' bhâghussâ
anak perempuan itu sangat cantik,kana' binè' rowa cè' bhâghussâ
yang waras mengalah saja.,sè bârâs ngala bhâi
perbuatan yang sangat berbahaya.,"bhâjâ patè sè èbât seddhi'na macan "
shalat lima kali sehari,abhâjâng lèma kalè saarè
kamu harus rajin sembahyang,bâ'na kodhu bhâjheng sè abhâjâng
belajarlah yang rajin agar kelak jadi pintar .,pabhâjheng sè ajhâr ma' lè pènter ghu' agghu'
bayinya sangat lucu,bhâji'na cè' locona
"musim penghujan sudah mau berganti musim kemarau, sudah tiba masanya untuk menanam tembakau","mosèm nembhârâ' aghântèa mosèm nèmor, ampon bâktona namen bhâko"
mempersembahkan suara nyanyian yang bagus dan syahdu untuk didengar.,mâkta swara rareppèn sè aghur tor marem pèrengnganna
berbakti kepada orang tuanya,abhâktè ka orèng towana
"meski bukan kerabat tapi sesama manusia harus belas kasih hatinya, sifat utama yang terpuji lebih-lebih sungguh terhadap ummat, ummat manusia.","makko bânnè lâ-bhâlâ tapè jhâ' rèng manossa, kodhu bellâs atèna, sèpat otama tapojhi, bi-lebbi mongghu ka ommat, ommat manossa"
kakiku bengkak karena kemarin terpeleset di jalanan yang lici,tang soko bârâ amarghâ bâri' tabhâlâccar è jhâlânan lècèn
anak Pak Markowi itu sangat nakal sekali.,ana'na Pa' Markowi rowa cè' bhâlengngerra
banyak orang dari manca negara berwisata ke pulau Bali.,bânnya' rèng manca naghârâ akalènjâr ka polo bhâli
tidak punya modal.,ta' anḍi' bhânḍhâ
"sekali berbuat kedurjanaan, perbuatan-perbuatan baik yang lalu tidak diperhitungkan orang lagi","bhândheng sabhâlânan èpataḍâ' rong-kèrong sèttong "
"jangan suka membeli ikan bandeng, ikan bandeng tulangnya banyak, jangan bersuamikan orang tampan, orang tampan banyak hutangnya.","jhâ' mèllèan jhuko' bhândheng, jhuko' bhândheng bânnya' tolangnga, jhâ' alakèan orèng gânteng, orèng gânteng bânnya' otangnga "
"di mana pemakaman cina, mari gali peti matinya, mana jalannya cinta, akan ikut ke rumahnya.","kemma jhâraddhâ cèna, ayu' koro' pandhusana, kemma jhâlân tarèsna, noro' aka bengkona "
